keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Global Key Solutions Corp.,GLOBAL KEY SOLUTIONS CORP,NN3GF8T82KH4,9RRV2,"4450 Sr 438,Dalton, Pennsylvania,18414-9432, United States","4450 Sr 438,Dalton, Pennsylvania,18414-9432, United States",,"Jan 11, 2023",['George Kwiecinski'],"Pennsylvania, United States",Pennsylvania 08
"Impossibly, Inc.","IMPOSSIBLY DREAM AGAIN, THE AMAYAH RENEE JAMONTE FOUNDATION, INC",D2H5XL9PGZD1,9SYG5,"263 Crowder LN,Henderson, North Carolina,27537-3389, United States","PO Box 3050,Henderson, North Carolina,27536, United States",,"Sep 6, 2023",['Debra Talley'],"North Carolina, United States",North Carolina 01
InceptEV,"INCEPTEV, INC.",M6ZSG58B6VU7,9HQR7,"6200 5TH AVE,APT. 310,Pittsburgh, Pennsylvania,15232-2944, United States","6200 5TH AVE,APT. 310,Pittsburgh, Pennsylvania,15232-2944, United States",https://inceptev.com/,"Oct 14, 2022",['Matthew Guttenberg'],"Delaware, United States",Pennsylvania 12
LOGOS ,"LOGOS ENTERTAINMENT, LP",XW5XNM87CTA3,84F69,"30 Colgate DR,Rancho Mirage, California,92270-3723, United States","30 Colgate Drive,Rancho Mirage, California,92270, United States",https://b2bvb.com/,"Jan 15, 2009",['Carole Krechman'],"California, United States",California 36
LOGOS ,,,,"842 HILLBURN DR,DALLAS, TX,75217-4623, USA",,,,[],,
LOGOS ,,,,"4729 CONCORD VILLAGE DR,LAS VEGAS, NV,89108, USA",,,,[],,
LOGOS ,,,,"1025 ADAMS CIR,BOULDER, CO,80303-1821, USA",,,,[],,
LOGOS ,,,,"245 HILL RD,null,ROME, NY,13441-4203, USA",,,,[],,
LOGOS ,,,,"747 W 18th St Ste B,null,Houston, TX,77008-3529, USA",,,,[],,
LOGOS ,,,,"847 E Wilson St,null,Batavia, IL,60510-2204, USA",,,,[],,
LOGOS ,,,,"1203 ROSS LN N,MEDFORD, OR,97501-1835, USA",,,,[],,
LOGOS ,,,,"1951 NW 7TH AVE,MIAMI, FL,33136-1128, USA",,,,[],,
LOGOS ,,,,"8 SKYHIVSKA STR., APT 104,LVIV,79066, UKR",,,,[],,
